iter	Logloss
0	0.6093780989
1	0.5433150463
2	0.4915778667
3	0.4504030843
4	0.418171072
5	0.3926679127
6	0.3724742571
7	0.3547703915
8	0.343510069
9	0.3353701578
10	0.3263851098
11	0.3178653367
12	0.313562695
13	0.3085769612
14	0.3044513229
15	0.3012266592
16	0.2983380036
17	0.2959346667
18	0.2939877184
19	0.2923607089
20	0.2915577619
21	0.290317742
22	0.2886371784
23	0.2877678661
24	0.2871657564
25	0.2868384446
26	0.2862917398
27	0.2852770089
28	0.2848254626
29	0.284260718
30	0.2837981822
31	0.2835355362
32	0.2832644378
33	0.2827087571
34	0.2824860014
35	0.2821078754
36	0.2819542056
37	0.2816882421
38	0.2815688144
39	0.2814607444
40	0.2812785968
41	0.2811774555
42	0.2810270199
43	0.2807844663
44	0.2807724857
45	0.2807080777
46	0.2806384984
47	0.2805435287
48	0.2804550083
49	0.280391982
50	0.280247138
51	0.2801944
52	0.2801382259
53	0.2800908406
54	0.2800846325
55	0.2800485811
56	0.2799901251
57	0.2799510382
58	0.2798965485
59	0.2798481327
60	0.2797975522
61	0.2797633515
62	0.2797138262
63	0.2796812483
64	0.2796507625
65	0.2796131902
66	0.2795891125
67	0.2795476002
68	0.2795243239
69	0.2794738212
70	0.2794472252
71	0.2794188364
72	0.2793541502
73	0.2793405875
74	0.2792250246
75	0.2791816526
76	0.2791625337
77	0.279139837
78	0.2790676375
79	0.279037667
80	0.2790062443
81	0.2789971141
82	0.2789754617
83	0.278934545
84	0.2789065944
85	0.2788905131
86	0.2788788414
87	0.2788587856
88	0.2788345955
89	0.27881613
90	0.2787986871
91	0.2787752152
92	0.2787422031
93	0.278717643
94	0.2786966086
95	0.2786627599
96	0.2786467769
97	0.2786277272
98	0.2786048524
99	0.2785870361
100	0.2785698819
101	0.2785539651
102	0.2785473776
103	0.2785324771
104	0.2785138511
105	0.2784985596
106	0.2784802766
107	0.2784627723
108	0.2784449745
109	0.2784255328
110	0.2784082433
111	0.2784081828
112	0.2783939359
113	0.2783411331
114	0.278296295
115	0.278278796
116	0.2782761412
117	0.278248916
118	0.2782280002
119	0.2782090634
120	0.2781889053
121	0.2781748275
122	0.2781564139
123	0.2781347499
124	0.2781181132
125	0.2780924176
126	0.2780813955
127	0.2780629255
128	0.2780447744
129	0.2780316154
130	0.2780127016
131	0.2779966773
132	0.277991668
133	0.2779721282
134	0.2779519785
135	0.2779360497
136	0.277909375
137	0.2778655
138	0.2778445915
139	0.2778044323
140	0.2777893235
141	0.2777728412
142	0.277755106
143	0.2777438142
144	0.2777309126
145	0.2777155425
146	0.2777074666
147	0.2776876075
148	0.2776759739
149	0.2776641132
150	0.2776382505
151	0.2776084817
152	0.2775846673
153	0.2775591301
154	0.2775426646
155	0.2775199573
156	0.2775038904
157	0.2774859856
158	0.2774687524
159	0.2774535206
160	0.2774358269
161	0.2774135446
162	0.2773849179
163	0.2773673956
164	0.2773503925
165	0.2773342183
166	0.2773136559
167	0.2772996749
168	0.2772805637
169	0.2772693812
170	0.2772544199
171	0.2772387673
172	0.2772008766
173	0.2771796118
174	0.2771658023
175	0.2771447786
176	0.2771344229
177	0.2771172906
178	0.2771031364
179	0.2770908407
180	0.2770657603
181	0.2770440307
182	0.2770218044
183	0.2770149255
184	0.2769993777
185	0.2769801991
186	0.2769603801
187	0.2769395318
188	0.2769244232
189	0.2769118809
190	0.2769002321
191	0.2768663958
192	0.2768569531
193	0.2768469771
194	0.2768312519
195	0.2768203791
196	0.2768065488
197	0.2767915561
198	0.2767847934
199	0.2767708015
200	0.2767515636
201	0.2767387382
202	0.2767257327
203	0.2767165082
204	0.276694747
205	0.2766842578
206	0.2766693988
207	0.2766585782
208	0.2766527171
209	0.2766408995
210	0.2766299053
211	0.2766165854
212	0.2766050265
213	0.2765887595
214	0.2765714993
215	0.2765576969
216	0.2765494352
217	0.2765332275
218	0.2765173743
219	0.2765084288
220	0.2764956655
221	0.2764802598
222	0.2764638621
223	0.2764362038
224	0.2764172014
225	0.2764021625
226	0.2763965505
227	0.276386082
228	0.2763617044
229	0.2763512067
230	0.2763339763
231	0.2763215492
232	0.2763050021
233	0.2762913278
234	0.2762846895
235	0.276269414
236	0.2762548777
237	0.2762395126
238	0.2762258585
239	0.2762144318
240	0.2762068898
241	0.2761940723
242	0.2761870544
243	0.2761764386
244	0.2761588442
245	0.2761429593
246	0.2761333593
247	0.2761198708
248	0.2761127522
249	0.2760952956
250	0.2760844097
251	0.2760712668
252	0.2760565758
253	0.2760478001
254	0.2760359306
255	0.2760288965
256	0.2760174452
257	0.2759969484
258	0.2759817004
259	0.2759671506
260	0.275957866
261	0.2759469704
262	0.2759379397
263	0.2759292255
264	0.2759117622
265	0.2759003365
266	0.2758880528
267	0.2758741905
268	0.2758627388
269	0.2758498531
270	0.2758375345
271	0.2758231137
272	0.2757985576
273	0.2757863456
274	0.2757715904
275	0.2757602326
276	0.2757451843
277	0.2757296094
278	0.2757181375
279	0.2757102492
280	0.2757015808
281	0.2756901318
282	0.2756787281
283	0.2756686671
284	0.2756524377
285	0.275644057
286	0.275634713
287	0.275624961
288	0.2756198773
289	0.275600023
290	0.275583415
291	0.2755688779
292	0.275555981
293	0.2755501798
294	0.2755394188
295	0.2755186508
296	0.2755061688
297	0.2754985439
298	0.2754822946
299	0.2754688329
300	0.2754620334
301	0.2754481321
302	0.2754404241
303	0.2754320013
304	0.2754208948
305	0.2754007247
306	0.2753895199
307	0.2753732629
308	0.2753648727
309	0.2753456739
310	0.2753372471
311	0.2753295231
312	0.2753149136
313	0.2753087537
314	0.2752991506
315	0.2752855446
316	0.275277509
317	0.2752708279
318	0.2752558457
319	0.2752412831
320	0.2752176599
321	0.2752046177
322	0.2751995926
323	0.2751892848
324	0.2751788121
325	0.2751688384
326	0.2751603453
327	0.275145099
328	0.2751344766
329	0.2751240545
330	0.2751139464
331	0.2751081775
332	0.2750935941
333	0.2750786598
334	0.2750650585
335	0.2750550068
336	0.2750483398
337	0.2750414672
338	0.2750289411
339	0.2750209529
340	0.2750095943
341	0.2750001831
342	0.2749822724
343	0.2749717297
344	0.2749617661
345	0.2749413413
346	0.274929167
347	0.2749093359
348	0.2749019919
349	0.2748924431
350	0.2748805807
351	0.274860412
352	0.2748505717
353	0.2748343558
354	0.2748252162
355	0.2748174779
356	0.2748126461
357	0.2747966774
358	0.2747858358
359	0.2747723012
360	0.2747615814
361	0.2747527066
362	0.2747403899
363	0.2747297105
364	0.274719757
365	0.2747077548
366	0.2746988955
367	0.2746856847
368	0.2746724441
369	0.2746679887
370	0.2746590476
371	0.2746504226
372	0.2746369649
373	0.2746239196
374	0.2746152857
375	0.2746072163
376	0.2745960131
377	0.2745840031
378	0.27457
379	0.2745640255
380	0.2745511366
381	0.274540361
382	0.2745255244
383	0.2745146775
384	0.2745106495
385	0.2745032665
386	0.2744912691
387	0.2744826804
388	0.2744728936
389	0.2744598565
390	0.2744530077
391	0.2744463882
392	0.2744297818
393	0.2744218341
394	0.2744043039
395	0.2743985487
396	0.2743861897
397	0.2743756249
398	0.2743723769
399	0.2743599179
400	0.2743448011
401	0.2743398536
402	0.2743315814
403	0.2743145335
404	0.2743024604
405	0.274293255
406	0.274282855
407	0.274274758
408	0.2742635097
409	0.2742569822
410	0.2742505525
411	0.2742372958
412	0.2742232559
413	0.2742145773
414	0.2742082825
415	0.2741996271
416	0.2741907066
417	0.2741739197
418	0.2741620153
419	0.2741525503
420	0.2741325178
421	0.2741135516
422	0.27410584
423	0.2740994179
424	0.2740843214
425	0.2740750578
426	0.2740665958
427	0.274059686
428	0.2740441242
429	0.2740386533
430	0.2740213216
431	0.2740152332
432	0.2740067289
433	0.2739944449
434	0.2739871475
435	0.2739741652
436	0.2739701925
437	0.2739604175
438	0.2739487853
439	0.2739374275
440	0.2739258719
441	0.2739134561
442	0.2739004984
443	0.2738896721
444	0.273878304
445	0.2738670434
446	0.2738595092
447	0.273856098
448	0.2738459568
449	0.2738382524
450	0.2738294175
451	0.273824957
452	0.2738156288
453	0.2738079833
454	0.2737967826
455	0.27378429
456	0.2737748618
457	0.2737692693
458	0.273760317
459	0.2737535282
460	0.2737475319
461	0.2737334011
462	0.2737182021
463	0.2737107209
464	0.2736993704
465	0.2736889114
466	0.2736789802
467	0.2736712669
468	0.2736593666
469	0.2736476899
470	0.2736368035
471	0.2736260231
472	0.2736101002
473	0.2736047673
474	0.2735977483
475	0.2735796774
476	0.2735732436
477	0.2735571063
478	0.2735451418
479	0.2735345653
480	0.2735297399
481	0.273516177
482	0.2735045676
483	0.2734975579
484	0.2734846798
485	0.2734759149
486	0.2734651799
487	0.2734449859
488	0.2734415215
489	0.2734298531
490	0.2734221063
491	0.2734065722
492	0.2733999729
493	0.2733914139
494	0.2733860047
495	0.2733761411
496	0.2733688992
497	0.2733608753
498	0.2733513989
499	0.2733433213
500	0.2733348961
501	0.2733270206
502	0.273309994
503	0.2732913318
504	0.2732755235
505	0.2732695674
506	0.2732610658
507	0.2732473147
508	0.2732273409
509	0.273220115
510	0.2732084256
511	0.2731982192
512	0.2731878862
513	0.2731803608
514	0.2731719866
515	0.2731603411
516	0.2731573593
517	0.2731435979
518	0.273126698
519	0.2731214672
520	0.2731086898
521	0.2730988009
522	0.2730892153
523	0.2730831654
524	0.2730754399
525	0.2730618968
526	0.2730514148
527	0.2730407191
528	0.2730364919
529	0.2730276702
530	0.2730191808
531	0.2730104762
532	0.273002161
533	0.2729923318
534	0.2729855205
535	0.272975043
536	0.2729702076
537	0.2729554985
538	0.2729487603
539	0.2729426061
540	0.2729336546
541	0.2729282238
542	0.2729186765
543	0.2729046725
544	0.272892214
545	0.2728823061
546	0.2728778314
547	0.2728710426
548	0.272865049
549	0.2728513821
550	0.272843106
551	0.2728350073
552	0.2728236326
553	0.2728110176
554	0.2727999369
555	0.2727902206
556	0.2727842144
557	0.2727776309
558	0.272767428
559	0.2727603742
560	0.2727550108
561	0.2727442415
562	0.2727345681
563	0.2727306526
564	0.2727195146
565	0.2727154836
566	0.2726985329
567	0.2726892832
568	0.272681233
569	0.2726690015
570	0.2726655731
571	0.2726557891
572	0.2726491363
573	0.2726484072
574	0.2726414813
575	0.2726327065
576	0.272625848
577	0.2726114198
578	0.2726042491
579	0.2725947761
580	0.2725837606
581	0.272573127
582	0.2725652133
583	0.2725585553
584	0.272546625
585	0.2725425298
586	0.2725334696
587	0.2725151741
588	0.2725084237
589	0.2725015366
590	0.2725008424
591	0.2724966329
592	0.2724907517
593	0.2724838153
594	0.2724750243
595	0.2724677215
596	0.2724596098
597	0.2724501252
598	0.2724447713
599	0.2724331366
600	0.272428241
601	0.2724186412
602	0.2724070418
603	0.2723947369
604	0.2723811542
605	0.272372687
606	0.2723647792
607	0.2723574676
608	0.2723494208
609	0.2723392013
610	0.2723317334
611	0.2723134806
612	0.2723028843
613	0.2722949261
614	0.2722849204
615	0.2722798944
616	0.2722705835
617	0.2722571533
618	0.2722543555
619	0.2722462078
620	0.2722408346
621	0.2722237535
622	0.272211933
623	0.2721978894
624	0.2721852152
625	0.2721798854
626	0.2721733334
627	0.2721687787
628	0.2721617712
629	0.2721532423
630	0.272145918
631	0.2721341541
632	0.2721228441
633	0.2721154189
634	0.2721092055
635	0.2721025779
636	0.2720945419
637	0.2720800819
638	0.2720647362
639	0.2720539584
640	0.2720369653
641	0.2720298947
642	0.2720138256
643	0.2720039703
644	0.2720012374
645	0.2719919798
646	0.271982453
647	0.2719716261
648	0.2719557803
649	0.2719487767
650	0.2719377373
651	0.2719328519
652	0.2719253021
653	0.2719164652
654	0.2719060961
655	0.2718973918
656	0.2718885196
657	0.2718790849
658	0.2718672461
659	0.2718585544
660	0.2718486625
661	0.2718439695
662	0.271831656
663	0.2718161587
664	0.2718103633
665	0.2718016335
666	0.2717938702
667	0.2717902961
668	0.2717805813
669	0.2717744756
670	0.2717646989
671	0.2717584163
672	0.2717548923
673	0.2717518301
674	0.2717383346
675	0.2717370443
676	0.2717292103
677	0.2717195742
678	0.2717115823
679	0.2717044868
680	0.2716980525
681	0.2716908547
682	0.2716771134
683	0.2716699798
684	0.2716591969
685	0.2716537924
686	0.2716465808
687	0.2716352041
688	0.2716295473
689	0.2716250823
690	0.2716171611
691	0.2716084831
692	0.2715932052
693	0.2715875671
694	0.2715779508
695	0.2715639706
696	0.2715506809
697	0.2715438432
698	0.2715374863
699	0.2715204041
700	0.2715127069
701	0.2715027038
702	0.2714956295
703	0.2714892185
704	0.2714806119
705	0.2714732144
706	0.2714688534
707	0.2714643859
708	0.2714591308
709	0.2714559641
710	0.271449143
711	0.2714345431
712	0.2714240218
713	0.2714188635
714	0.2714159903
715	0.2714096817
716	0.2713902605
717	0.2713814384
718	0.2713720784
719	0.2713692031
720	0.271360521
721	0.2713540786
722	0.2713474163
723	0.2713398885
724	0.2713319225
725	0.2713243232
726	0.2713116563
727	0.2712992796
728	0.2712947009
729	0.2712899515
730	0.2712846312
731	0.2712759622
732	0.2712660235
733	0.2712603207
734	0.2712564115
735	0.2712476341
736	0.2712450535
737	0.2712361212
738	0.2712239285
739	0.2712177631
740	0.2712053666
741	0.2711953518
742	0.2711893339
743	0.2711822993
744	0.2711722826
745	0.2711654821
746	0.2711612739
747	0.2711569688
748	0.271144526
749	0.2711321959
750	0.2711292805
751	0.2711186008
752	0.2711091084
753	0.2711015886
754	0.2710891666
755	0.2710803579
756	0.2710767352
757	0.2710704458
758	0.2710588336
759	0.2710543561
760	0.2710471616
761	0.2710361376
762	0.2710263247
763	0.2710182018
764	0.2710021361
765	0.2709934458
766	0.2709811074
767	0.270974421
768	0.270962866
769	0.2709530096
770	0.2709486278
771	0.2709399395
772	0.2709347146
773	0.2709195727
774	0.2709060098
775	0.2708987547
776	0.2708941814
777	0.2708863051
778	0.270877551
779	0.2708762364
780	0.2708714794
781	0.2708660557
782	0.2708602047
783	0.2708455823
784	0.2708427353
785	0.2708346576
786	0.2708237735
787	0.2708203685
788	0.2708078463
789	0.2707987495
790	0.2707890108
791	0.270783909
792	0.2707766994
793	0.2707655415
794	0.2707598575
795	0.270753667
796	0.2707444967
797	0.2707331031
798	0.2707249383
799	0.2707165092
800	0.2707134036
801	0.2707004541
802	0.2706954304
803	0.2706796594
804	0.2706711887
805	0.2706661353
806	0.270660204
807	0.2706547303
808	0.270649061
809	0.2706420139
810	0.2706346029
811	0.2706319752
812	0.2706197166
813	0.2706142406
814	0.2706087087
815	0.2706035633
816	0.2706007668
817	0.2705981146
818	0.27058919
819	0.2705778072
820	0.2705704962
821	0.270564179
822	0.2705590533
823	0.2705497308
824	0.2705348231
825	0.2705276562
826	0.2705192237
827	0.2705136428
828	0.2705068765
829	0.2704957588
830	0.2704947485
831	0.2704877033
832	0.2704830226
833	0.2704755358
834	0.2704623345
835	0.2704545824
836	0.2704475496
837	0.2704349272
838	0.2704197858
839	0.2704144347
840	0.2704032038
841	0.2703956513
842	0.2703893734
843	0.2703844527
844	0.2703809085
845	0.2703757403
846	0.2703666786
847	0.270355635
848	0.270343532
849	0.2703402992
850	0.2703367394
851	0.2703275648
852	0.2703106201
853	0.2703066132
854	0.2703036105
855	0.2702964596
856	0.2702920195
857	0.2702866355
858	0.2702799247
859	0.2702736721
860	0.2702717671
861	0.2702664907
862	0.2702619998
863	0.2702518426
864	0.2702429096
865	0.2702373072
866	0.2702320087
867	0.270223415
868	0.2702139529
869	0.2702063375
870	0.2701990318
871	0.2701880317
872	0.2701798471
873	0.2701719771
874	0.2701646452
