iter	Passed	Remaining
0	13	13503
1	28	14161
2	45	15071
3	59	14931
4	73	14700
5	88	14697
6	104	14851
7	120	14952
8	132	14552
9	141	14036
10	155	13993
11	171	14089
12	183	13958
13	199	14033
14	212	13931
15	224	13785
16	240	13893
17	254	13894
18	270	13983
19	287	14068
20	298	13930
21	314	13978
22	332	14134
23	349	14229
24	364	14226
25	377	14125
26	394	14212
27	410	14255
28	426	14265
29	441	14288
30	458	14322
31	475	14374
32	490	14374
33	506	14394
34	521	14379
35	536	14354
36	549	14289
37	566	14336
38	581	14331
39	598	14370
40	615	14391
41	631	14411
42	649	14459
43	667	14502
44	678	14398
45	694	14401
46	710	14402
47	727	14432
48	744	14450
49	761	14474
50	777	14469
51	794	14483
52	809	14468
53	825	14464
54	837	14392
55	852	14377
56	868	14371
57	884	14361
58	899	14349
59	915	14346
60	931	14337
61	945	14304
62	963	14327
63	979	14329
64	995	14326
65	1010	14296
66	1025	14280
67	1040	14264
68	1057	14263
69	1073	14265
70	1091	14287
71	1108	14283
72	1124	14273
73	1138	14248
74	1157	14270
75	1173	14261
76	1188	14248
77	1202	14210
78	1218	14208
79	1233	14188
80	1249	14175
81	1264	14151
82	1281	14155
83	1297	14150
84	1312	14133
85	1328	14114
86	1344	14110
87	1359	14092
88	1375	14084
89	1389	14052
90	1405	14038
91	1423	14044
92	1439	14036
93	1455	14025
94	1470	14009
95	1486	13996
96	1501	13982
97	1516	13956
98	1532	13943
99	1547	13928
100	1562	13908
101	1578	13897
102	1591	13859
103	1608	13857
104	1623	13837
105	1639	13823
106	1655	13814
107	1671	13803
108	1686	13788
109	1700	13756
110	1715	13736
111	1723	13666
112	1738	13649
113	1754	13633
114	1771	13632
115	1787	13618
116	1799	13579
117	1815	13570
118	1831	13560
119	1847	13547
120	1864	13542
121	1879	13523
122	1895	13513
123	1907	13478
124	1922	13458
125	1937	13437
126	1952	13420
127	1968	13412
128	1984	13399
129	2000	13389
130	2016	13377
131	2031	13359
132	2044	13328
133	2061	13322
134	2077	13311
135	2091	13287
136	2107	13276
137	2124	13272
138	2138	13249
139	2153	13231
140	2169	13214
141	2183	13192
142	2199	13182
143	2216	13177
144	2233	13170
145	2248	13154
146	2261	13121
147	2278	13114
148	2294	13105
149	2309	13089
150	2326	13078
151	2340	13058
152	2355	13040
153	2372	13035
154	2389	13026
155	2405	13012
156	2421	13000
157	2437	12991
158	2453	12979
159	2469	12962
160	2484	12944
161	2499	12931
162	2516	12920
163	2531	12903
164	2547	12891
165	2563	12880
166	2580	12869
167	2596	12857
168	2613	12852
169	2629	12836
170	2643	12817
171	2660	12807
172	2677	12800
173	2694	12789
174	2711	12782
175	2728	12774
176	2744	12762
177	2761	12753
178	2777	12740
179	2793	12727
180	2809	12712
181	2826	12701
182	2842	12690
183	2859	12682
184	2876	12674
185	2894	12665
186	2911	12657
187	2928	12649
188	2943	12632
189	2960	12619
